district,year,state,effective_number_of_political_parties
bheem nagar,2012,uttar pradesh,4.103280990077305
rampur,2012,uttar pradesh,5.184113741520041
jyotiba phule nagar,2012,uttar pradesh,4.845493278692305
samastipur,2015,bihar,2.9859036579888194
meerut,2012,uttar pradesh,3.98764616692772
baghpat,2012,uttar pradesh,3.3114667275564695
ghaziabad,2012,uttar pradesh,3.8217920234244374
panchsheel nagar,2012,uttar pradesh,3.730461485970619
bulandshahr,2012,uttar pradesh,4.185919447283966
aligarh,2012,uttar pradesh,4.4644266156740775
gopalganj,2015,bihar,3.2278228241795786
mahamaya nagar,2012,uttar pradesh,3.4675011965275875
mathura,2012,uttar pradesh,3.3073206764411602
firozabad,2012,uttar pradesh,3.161547838108271
kanshiram nagar,2012,uttar pradesh,5.580862092394818
etah,2012,uttar pradesh,4.292112783524441
mainpuri,2012,uttar pradesh,3.627190193664128
badaun,2012,uttar pradesh,4.085167143783554
bareilly,2012,uttar pradesh,4.637449119151639
pilibhit,2012,uttar pradesh,4.467558477096719
lakhimpur,2011,assam,3.4619801323790056
kheri,2012,uttar pradesh,5.5897655417561625
sitapur,2012,uttar pradesh,3.657075787634636
surguja,2013,chhattisgarh,3.2111458479877375
hardoi,2012,uttar pradesh,3.6135262882439423
unnao,2012,uttar pradesh,4.169338575444995
lucknow,2012,uttar pradesh,4.153806336608382
rae bareli,2012,uttar pradesh,4.303709331566856
chhatrapathi shahuji maharaj gar,2012,uttar pradesh,4.201421078360062
sultanpur,2012,uttar pradesh,3.450001746577758
farrukhabad,2012,uttar pradesh,5.843191445736591
raisen,2013,madhya pradesh,3.0751710869148376
kannauj,2012,uttar pradesh,3.5368667996219822
etawah,2012,uttar pradesh,3.014338404452092
auraiya,2012,uttar pradesh,3.5192176153025456
ramabai nagar,2012,uttar pradesh,3.940612394138984
jamui,2015,bihar,4.044053733517689
kanpur grameen,2012,uttar pradesh,3.784701652102092
east champaran,2015,bihar,3.278147984324612
kanpur nagar,2012,uttar pradesh,3.852629677540699
jalaun,2012,uttar pradesh,5.002148180548315
jhansi,2012,uttar pradesh,4.122710620863867
lalitpur,2012,uttar pradesh,4.802779687110407
mahoba,2012,uttar pradesh,4.544409963062508
banda,2012,uttar pradesh,4.472344949506601
sagar,2013,madhya pradesh,2.774074131950557
satna,2013,madhya pradesh,3.6863582665990147
chitrakoot,2012,uttar pradesh,5.484579911618189
jahanabad,2015,bihar,3.3746474832711484
bardhaman,2011,west bengal,2.2599490526164074
kaushambi,2012,uttar pradesh,4.1765112736470975
allahabad,2012,uttar pradesh,4.382366907583151
surajpur,2013,chhattisgarh,3.4206417096558623
faizabad,2012,uttar pradesh,4.02452213177383
ambedkar nagar,2012,uttar pradesh,2.8996361359105447
bahraich,2012,uttar pradesh,5.063859267536487
shravasti,2012,uttar pradesh,4.152128244705542
balrampur,2013,chhattisgarh,3.863660712346495
katihar,2015,bihar,3.956912603193365
gonda,2012,uttar pradesh,3.9294676298304814
siddharth nagar,2012,uttar pradesh,4.767499926580376
basti,2012,uttar pradesh,4.001537030589265
sant kabir nagar,2012,uttar pradesh,4.942905640990279
maharajganj,2012,uttar pradesh,5.082165910413142
siwan,2015,bihar,3.6717954769156713
gorakhpur,2012,uttar pradesh,4.482498323971022
kushinagar,2012,uttar pradesh,5.593881291994899
azamgarh,2012,uttar pradesh,3.7766057425230732
ganjam,2014,orissa,2.592611704217305
nizamabad,2014,telangana,1.643582946237713
vaishali,2015,bihar,3.2526910775008586
mau,2012,uttar pradesh,4.5194362347343455
ballia,2012,uttar pradesh,4.504893090500573
jaunpur,2012,uttar pradesh,4.086937928456926
ghazipur,2012,uttar pradesh,3.812634066635541
chandauli,2012,uttar pradesh,3.7927342930531784
varanasi,2012,uttar pradesh,4.761196751843675
sant ravidas nagar,2012,uttar pradesh,3.3399734665823475
muzaffarpur,2015,bihar,3.011574614817347
mirzapur,2012,uttar pradesh,4.204138485251244
sonbhadra,2012,uttar pradesh,4.641300983904344
west champaran,2015,bihar,3.1725724624773424
sheohar,2015,bihar,4.73309934467873
sitamarhi,2015,bihar,3.7637898972087402
madhubani,2015,bihar,3.532201931475662
supaul,2015,bihar,2.6966111585399313
araria,2015,bihar,2.643651014136614
purnea,2011,bihar,3.694562097360245
south twenty four parganas,2011,west bengal,2.240367246174432
madhepura,2015,bihar,3.346758712016602
saharsa,2015,bihar,3.1947432836189416
darbhanga,2014,bihar,2.990133956920963
koria,2013,chhattisgarh,3.57163842104492
saran,2015,bihar,3.860971878223292
nadia,2011,west bengal,2.3883999801263824
subarnapur,2014,orissa,2.9051287545591027
begusarai,2015,bihar,3.003843762683748
khagaria,2015,bihar,3.3177073970273696
khagari a,2014,bihar,2.696209091139921
bhagalpur,2015,bihar,3.126068013681614
south tripura,2013,tripura,2.0514880020421913
banka,2015,bihar,3.010821391722183
munger,2015,bihar,2.813884740432184
lakhisarai,2015,bihar,2.9943381586295974
sheikhpura,2015,bihar,4.524103817385084
nalanda,2015,bihar,2.882294503210657
sangli,2014,maharashtra,2.8591421889761435
patna,2015,bihar,2.8842362498006966
nagaon,2011,assam,2.7402701403863845
buxar,2015,bihar,3.166178898172686
buxor,2015,bihar,3.0384937044233546
kaimur,2015,bihar,3.158414497876248
kaimur bhabhua,2015,bihar,4.002516942754281
arwal,2015,bihar,3.3974651308810597
ar wal,2015,bihar,4.493883554848838
gaya,2015,bihar,3.157200344506238
nawada,2015,bihar,2.8965885853185602
west,2014,sikkim,2.0360134018168456
south,2014,sikkim,1.8501628583688765
east,2014,sikkim,2.1499469495767456
north,2014,sikkim,2.0457846661317376
sangha,2014,sikkim,2.2405937967906007
tawang,2014,arunachal pradesh,1.48538331227833
west kameng,2014,arunachal pradesh,1.7471327384556117
east kameng,2014,arunachal pradesh,1.6130330407442088
papum pare,2014,arunachal pradesh,1.3678978308437735
lower subansiri,2014,arunachal pradesh,2.1244276443486942
kurung kumey,2014,arunachal pradesh,1.500569912103466
upper subansiri,2014,arunachal pradesh,1.6127619594302947
west siang,2014,arunachal pradesh,2.269235453508075
upper siang,2014,arunachal pradesh,2.192632684464508
east siang,2014,arunachal pradesh,1.8266230271479593
dibang valley,2014,arunachal pradesh,2.032734588649934
lower dibang valley,2014,arunachal pradesh,2.1690522265403587
lohit,2014,arunachal pradesh,2.2886470109862413
anjaw,2014,arunachal pradesh,1.5831796408924281
changlang,2014,arunachal pradesh,2.3697104686706183
tirap,2014,arunachal pradesh,2.813470596794801
dimapur,2013,nagaland,2.636287279627765
peren,2013,nagaland,2.8118682907704597
kohima,2013,nagaland,2.056322211439068
pughoboto,2013,nagaland,1.9314442366553812
phek,2013,nagaland,2.704380988011672
mokokchung,2013,nagaland,2.3440450332469576
zunheboto,2013,nagaland,2.1057450444923
wokha,2013,nagaland,3.045145692655594
mon,2013,nagaland,2.2764702976907527
longleng,2013,nagaland,2.1135345321505947
tuensang,2013,nagaland,2.6162523690542963
kiphire,2013,nagaland,1.9911344230958452
imphal east,2012,manipur,3.067629539512564
imphal west,2012,manipur,3.1405619990297446
bishnupur,2012,manipur,3.11861447987014
thoubal,2012,manipur,2.5655573650504886
chandel,2012,manipur,3.3452696207728585
ukhrul,2012,manipur,3.622265006674604
senapati,2012,manipur,2.5204460307666516
tamenglong,2012,manipur,2.490411253185101
churachandpur,2012,manipur,2.8704434655077815
mamit,2013,mizoram,2.955065769529526
kolasib,2013,mizoram,3.0141329249792204
tuivawl,2013,mizoram,2.7574158514412637
champhai,2013,mizoram,2.8991418269466114
serchhip,2013,mizoram,2.9448640110494306
lunglei,2013,mizoram,2.3927673605213937
lawngtlai,2013,mizoram,2.0148704006339444
saiha,2013,mizoram,2.036749302433064
dhalai,2013,tripura,2.1670959928619418
rangia,2011,assam,4.428591701291527
north tripura,2013,tripura,2.1965728944372565
west jaintia hills,2013,meghalaya,3.079609621510847
east jaintia hills,2013,meghalaya,2.869592680410695
ri bhoi,2013,meghalaya,3.211426568082576
east khasi hills,2013,meghalaya,3.107265749115208
west khasi hills,2013,meghalaya,3.7343313087189274
south west khasi hills,2013,meghalaya,3.8884687474118107
east garo hills,2013,meghalaya,4.192698299951208
north garo hills,2013,meghalaya,3.0779707717657785
west garo hills,2013,meghalaya,4.600027802004723
south west garo hills,2013,meghalaya,3.053966234506319
south garo hills,2013,meghalaya,4.828540707530101
dhanbad,2014,jharkhand,3.9452536679542405
hailakandi,2011,assam,2.635798994048287
silchar,2011,assam,2.748744008586668
n c hills,2011,assam,2.5484721310683294
bokajan,2011,assam,2.3143559616015943
diphu,2011,assam,2.618423114082251
hamren,2011,assam,2.323100863882226
south salmara,2011,assam,2.3970947860593563
dhubri,2011,assam,3.006569382284366
bilasipara,2011,assam,4.024856211728586
gossaigaon,2011,assam,3.4031949758249187
kokrajhar,2011,assam,2.319483955559365
bogaigaon,2011,assam,3.353062979441901
bijni,2011,assam,3.2387382109119436
north salmara,2011,assam,3.316625911605094
goalpara,2011,assam,4.215027024196821
balasore,2014,orissa,2.95469185743353
barpeta,2011,assam,3.2406994533518705
kolkata corporation,2011,west bengal,2.0763391103278153
bajali,2011,assam,3.861706274063982
kamrup,2011,assam,3.4392669787639694
kamrup metro,2011,assam,2.9968251347131574
nalbari,2011,assam,3.001043688704472
udalguri,2011,assam,3.745594317558074
mangaldoi,2011,assam,2.9984947947287592
tezpur,2011,assam,3.7263300206120924
biswanath chariali,2011,assam,2.6219922261852195
gohpur,2011,assam,3.519607256881105
morigaon,2011,assam,2.8987163449886624
kaliabor,2011,assam,2.457230731926226
hojai,2011,assam,3.0504375153693193
bokakhat,2011,assam,3.486949498719627
dhansiri,2011,assam,2.840718633637063
golaghat,2011,assam,2.5601388683803465
jorhat,2011,assam,2.2010407076646454
majuli,2011,assam,2.8943673989570553
titabor,2011,assam,2.232888611688813
sibsagar,2011,assam,2.6894353182301134
nazira,2011,assam,2.1808553222978126
charaideo sonari,2011,assam,2.8310635124266392
dhakuakhana,2011,assam,2.2180736850732408
dhemaji,2011,assam,2.8806025667493946
jonai,2011,assam,2.1743587870296017
dibrugarh,2011,assam,2.97104079407116
tinsukia,2011,assam,3.080248122207447
margherita,2011,assam,2.41100550719467
sadiya,2011,assam,2.8098900599605243
cooch behar,2011,west bengal,2.5285608490658
jalpaiguri,2011,west bengal,3.019980553698844
darjeeling,2011,west bengal,2.065952997143823
