district,state,year,vote_share
mumbai suburban,maharashtra,2014,41.42269230769231
mumbai city,maharashtra,2014,39.46900000000001
raigad,maharashtra,2014,38.02
pune,maharashtra,2011,50.26
ahmednagar,maharashtra,2014,46.00916666666668
beed,maharashtra,2012,47.65
latur,maharashtra,2014,42.311666666666675
osmanabad,maharashtra,2014,38.3075
solapur,maharashtra,2014,40.841818181818184
satara,maharashtra,2014,45.298750000000005
ratnagiri,maharashtra,2014,46.45
district sindhudurg,maharashtra,2014,48.846666666666664
kolhapur,maharashtra,2013,50.65
sangli,maharashtra,2014,47.06375
adilabad,telangana,2012,49.34
nizamabad,telangana,2011,67.75
karimanagar,telangana,2014,48.33153846153846
medak,telangana,2014,48.706999999999994
rangareddi,telangana,2014,39.730714285714285
hyderabad,telangana,2014,49.17066666666667
mahabubnagar,telangana,2012,34.99
nalgonda,telangana,2014,38.223333333333336
warangal,telangana,2012,40.44500000000001
khammam,telangana,2014,35.532
srikakulam,andhra pradesh,2012,38.96
vizianagaram,andhra pradesh,2014,45.45666666666667
vishakapatnam,andhra pradesh,2012,41.88
east godavari,andhra pradesh,2012,49.93
west godavari,andhra pradesh,2012,50.415
krishna,andhra pradesh,2013,81.55
guntur,andhra pradesh,2012,47.755
prakasam,andhra pradesh,2012,48.8
nellore,andhra pradesh,2012,44.41
kadapa,andhra pradesh,2011,70.09
kurnool,andhra pradesh,2012,47.375
anantapur,andhra pradesh,2012,49.620000000000005
chittoor,andhra pradesh,2012,43.29
belgaum,karnataka,2013,45.263888888888886
bagalkot,karnataka,2013,45.93571428571429
gulbarga,karnataka,2013,42.89333333333334
yadgir,karnataka,2013,37.3475
bidar,karnataka,2013,41.291666666666664
raichur,karnataka,2013,39.24857142857143
koppal,karnataka,2011,44.87
gadag,karnataka,2013,45.815
dharwad,karnataka,2013,41.874285714285705
uttara kannada,karnataka,2013,39.89000000000001
haveri,karnataka,2013,43.61333333333334
bellary,karnataka,2011,60.41
chitradurga,karnataka,2013,43.13833333333334
davanagere,karnataka,2011,35.87
shimoga,karnataka,2013,41.01857142857143
udupi,karnataka,2013,54.498000000000005
chickmagalur,karnataka,2013,39.516
tumkur,karnataka,2013,41.82181818181819
chikballapur,karnataka,2013,44.596000000000004
kolar,karnataka,2011,46.99
bangalore,karnataka,2013,47.325
bangalore rural,karnataka,2013,41.6375
ramanagara,karnataka,2011,50.6
mandya,karnataka,2013,46.144285714285715
hassan,karnataka,2013,46.58428571428572
dakshina kannada,karnataka,2013,48.863749999999996
kodagu,karnataka,2013,42.04
mysore,karnataka,2013,42.25181818181818
chamarajanagar,karnataka,2013,38.815
north goa,goa,2012,54.16956521739131
south goa,goa,2012,49.881176470588244
kasaragod,kerala,2011,45.660000000000004
kannur,kerala,2011,52.75
wayanad,kerala,2011,50.95333333333334
kozhikode,kerala,2011,48.13999999999999
malappuram,kerala,2011,54.718125
palakkad,kerala,2011,50.43416666666666
thrissur,kerala,2011,49.841538461538455
ernakulam,kerala,2011,51.26428571428571
idukki,kerala,2011,51.193999999999996
kottayam,kerala,2011,51.169999999999995
alappuzha,kerala,2011,51.55333333333333
pathanamthitta,kerala,2011,48.668
kollam,kerala,2011,52.382727272727266
thiruvananthapuram,kerala,2011,48.24142857142858
tiruvallur,tamil nadu,2011,54.363
chennai,tamil nadu,2011,53.71749999999999
kanchipuram,tamil nadu,2011,52.83818181818181
vellore,tamil nadu,2011,51.17999999999999
krishnagiri,tamil nadu,2011,50.28333333333333
dharmapuri,tamil nadu,2011,50.571999999999996
tiruvannamalai,tamil nadu,2011,51.837500000000006
villupuram,tamil nadu,2011,53.31181818181817
salem,tamil nadu,2011,55.60181818181818
namakkal,tamil nadu,2011,53.776666666666664
erode,tamil nadu,2011,56.13375
tirupur,tamil nadu,2011,57.057500000000005
nilgiris,tamil nadu,2011,60.23333333333333
coimbatore,tamil nadu,2011,57.665000000000006
dindigul,tamil nadu,2011,55.27571428571429
karur,tamil nadu,2011,55.12
tiruchirappalli,tamil nadu,2011,51.56699999999999
perambalur,tamil nadu,2011,49.54
ariyalur,tamil nadu,2011,49.650000000000006
